,INTERVAL_DATETIME,REGIONID,ACTUAL_OPERATIONAL_DEMAND,LASTCHANGED
307,1/7/2022 9:00,NSW1,7987,1/7/2022 9:00
308,1/7/2022 9:30,NSW1,7953,1/7/2022 9:30
309,1/7/2022 10:00,NSW1,7956,1/7/2022 10:00
310,1/7/2022 10:30,NSW1,8058,1/7/2022 10:30
311,1/7/2022 11:00,NSW1,8111,1/7/2022 11:00
312,1/7/2022 11:30,NSW1,8074,1/7/2022 11:30
313,1/7/2022 12:00,NSW1,8162,1/7/2022 12:00
314,1/7/2022 12:30,NSW1,8200,1/7/2022 12:30
315,1/7/2022 13:00,NSW1,8113,1/7/2022 13:00
316,1/7/2022 13:30,NSW1,8064,1/7/2022 13:30
317,1/7/2022 14:00,NSW1,8085,1/7/2022 14:00
318,1/7/2022 14:30,NSW1,8390,1/7/2022 14:30
319,1/7/2022 15:00,NSW1,8554,1/7/2022 15:00
320,1/7/2022 15:30,NSW1,8580,1/7/2022 15:30
321,1/7/2022 16:00,NSW1,8768,1/7/2022 16:00
322,1/7/2022 16:30,NSW1,8899,1/7/2022 16:30
323,1/7/2022 17:00,NSW1,9095,1/7/2022 17:00
324,1/7/2022 17:30,NSW1,9172,1/7/2022 17:30
325,1/7/2022 18:00,NSW1,9224,1/7/2022 18:00
326,1/7/2022 18:30,NSW1,9104,1/7/2022 18:30
327,1/7/2022 19:00,NSW1,8956,1/7/2022 19:00
328,1/7/2022 19:30,NSW1,8845,1/7/2022 19:30
329,1/7/2022 20:00,NSW1,8730,1/7/2022 20:00
330,1/7/2022 20:30,NSW1,8558,1/7/2022 20:30
331,1/7/2022 21:00,NSW1,8361,1/7/2022 21:00
332,1/7/2022 21:30,NSW1,8250,1/7/2022 21:30
333,1/7/2022 22:00,NSW1,8125,1/7/2022 22:00
334,1/7/2022 22:30,NSW1,7976,1/7/2022 22:30
335,1/7/2022 23:00,NSW1,7823,1/7/2022 23:00
336,1/7/2022 23:30,NSW1,7629,1/7/2022 23:30
337,1/8/2022 0:00,NSW1,7415,1/8/2022 0:00
338,1/8/2022 0:30,NSW1,7198,1/8/2022 0:30
339,1/8/2022 1:00,NSW1,6944,1/8/2022 1:00
340,1/8/2022 1:30,NSW1,6698,1/8/2022 1:30
341,1/8/2022 2:00,NSW1,6505,1/8/2022 2:00
342,1/8/2022 2:30,NSW1,6367,1/8/2022 2:30
343,1/8/2022 3:00,NSW1,6290,1/8/2022 3:00
344,1/8/2022 3:30,NSW1,6229,1/8/2022 3:30
345,1/8/2022 4:00,NSW1,6213,1/8/2022 4:00
346,1/8/2022 4:30,NSW1,6254,1/8/2022 4:30
347,1/8/2022 5:00,NSW1,6325,1/8/2022 5:00
348,1/8/2022 5:30,NSW1,6369,1/8/2022 5:30
349,1/8/2022 6:00,NSW1,6420,1/8/2022 6:00
350,1/8/2022 6:30,NSW1,6470,1/8/2022 6:30
351,1/8/2022 7:00,NSW1,6539,1/8/2022 7:00
352,1/8/2022 7:30,NSW1,6635,1/8/2022 7:30
353,1/8/2022 8:00,NSW1,6689,1/8/2022 8:00
354,1/8/2022 8:30,NSW1,6894,1/8/2022 8:30
355,1/8/2022 9:00,NSW1,6831,1/8/2022 9:00
356,1/8/2022 9:30,NSW1,6737,1/8/2022 9:30
357,1/8/2022 10:00,NSW1,6680,1/8/2022 10:00
358,1/8/2022 10:30,NSW1,6757,1/8/2022 10:30
359,1/8/2022 11:00,NSW1,6863,1/8/2022 11:00
360,1/8/2022 11:30,NSW1,7029,1/8/2022 11:30
361,1/8/2022 12:00,NSW1,7115,1/8/2022 12:00
362,1/8/2022 12:30,NSW1,7452,1/8/2022 12:30
363,1/8/2022 13:00,NSW1,7622,1/8/2022 13:00
364,1/8/2022 13:30,NSW1,7714,1/8/2022 13:30
365,1/8/2022 14:00,NSW1,7932,1/8/2022 14:00
366,1/8/2022 14:30,NSW1,8154,1/8/2022 14:30
367,1/8/2022 15:00,NSW1,8409,1/8/2022 15:00
368,1/8/2022 15:30,NSW1,8650,1/8/2022 15:30
369,1/8/2022 16:00,NSW1,8969,1/8/2022 16:00
370,1/8/2022 16:30,NSW1,9166,1/8/2022 16:30
371,1/8/2022 17:00,NSW1,9187,1/8/2022 17:00
372,1/8/2022 17:30,NSW1,9114,1/8/2022 17:30
373,1/8/2022 18:00,NSW1,9178,1/8/2022 18:00
374,1/8/2022 18:30,NSW1,9239,1/8/2022 18:30
375,1/8/2022 19:00,NSW1,9104,1/8/2022 19:00
376,1/8/2022 19:30,NSW1,8919,1/8/2022 19:30
377,1/8/2022 20:00,NSW1,8816,1/8/2022 20:00
378,1/8/2022 20:30,NSW1,8643,1/8/2022 20:30
379,1/8/2022 21:00,NSW1,8426,1/8/2022 21:00
380,1/8/2022 21:30,NSW1,8245,1/8/2022 21:30
381,1/8/2022 22:00,NSW1,8054,1/8/2022 22:00
382,1/8/2022 22:30,NSW1,7909,1/8/2022 22:30
383,1/8/2022 23:00,NSW1,7667,1/8/2022 23:00
384,1/8/2022 23:30,NSW1,7432,1/8/2022 23:30
385,1/9/2022 0:00,NSW1,7251,1/9/2022 0:00
386,1/9/2022 0:30,NSW1,7060,1/9/2022 0:30
387,1/9/2022 1:00,NSW1,6822,1/9/2022 1:00
388,1/9/2022 1:30,NSW1,6572,1/9/2022 1:30
389,1/9/2022 2:00,NSW1,6405,1/9/2022 2:00
390,1/9/2022 2:30,NSW1,6263,1/9/2022 2:30
391,1/9/2022 3:00,NSW1,6180,1/9/2022 3:00
392,1/9/2022 3:30,NSW1,6125,1/9/2022 3:30
393,1/9/2022 4:00,NSW1,6083,1/9/2022 4:00
394,1/9/2022 4:30,NSW1,6101,1/9/2022 4:30
395,1/9/2022 5:00,NSW1,6135,1/9/2022 5:00
396,1/9/2022 5:30,NSW1,6158,1/9/2022 5:30
397,1/9/2022 6:00,NSW1,6190,1/9/2022 6:00
398,1/9/2022 6:30,NSW1,6279,1/9/2022 6:30
399,1/9/2022 7:00,NSW1,6380,1/9/2022 7:00
400,1/9/2022 7:30,NSW1,6504,1/9/2022 7:30
401,1/9/2022 8:00,NSW1,6563,1/9/2022 8:00
402,1/9/2022 8:30,NSW1,6690,1/9/2022 8:30
403,1/9/2022 9:00,NSW1,6901,1/9/2022 9:00
404,1/9/2022 9:30,NSW1,7140,1/9/2022 9:30
405,1/9/2022 10:00,NSW1,7116,1/9/2022 10:00
406,1/9/2022 10:30,NSW1,7223,1/9/2022 10:30
